駅ID,駅名,駅名かな,駅名英語
0,大宮,おおみや,Omiya
1,さいたま新都心,さいたましんとしん,Saitama-Shintoshin
2,与野,よの,Yono
3,北浦和,きたうらわ,Kita-Urawa
4,浦和,うらわ,Urawa
5,南浦和,みなみうらわ,Minami-Urawa
6,蕨,わらび,Warabi
7,西川口,にしかわぐち,Nishi-Kawaguchi
8,川口,かわぐち,Kawaguchi
9,赤羽,あかばね,Akabane
10,東十条,ひがしじゅうじょう,Higashi-Jujo
11,王子,おうじ,Oji
12,上中里,かみなかざと,Kaminakazato
13,田端,たばた,Tabata
14,西日暮里,にしにっぽり,Nishi-Nippori
15,日暮里,にっぽり,Nippori
16,鶯谷,うぐいすだに,Uguisudani
17,上野,うえの,Ueno
18,御徒町,おかちまち,Okachimachi
19,秋葉原,あきはばら,Akihabara
20,神田,かんだ,Kanda
21,東京,とうきょう,Tokyo
22,有楽町,ゆうらくちょう,Yurakucho
23,新橋,しんばし,Shinbashi
24,浜松町,はままつちょう,Hamamatsucho
25,田町,たまち,Tamachi
26,高輪ゲートウェイ,たかなわゲートウェイ,Takanawa Gateway
27,品川,しながわ,Shinagawa
28,大井町,おおいまち,Oimachi
29,大森,おおもり,Omori
30,蒲田,かまた,Kamata
31,川崎,かわさき,Kawasaki
32,鶴見,つるみ,Tsurumi
33,新子安,しんこやす,Shin-Koyasu
34,東神奈川,ひがしかながわ,Higashi-Kanagawa
35,横浜,よこはま,Yokohama
36,桜木町,さくらぎちょう,Sakuragicho
37,関内,かんない,Kannai
38,石川町,いしかわちょう,Ishikawacho
39,山手,やまのて,Yamate
40,根岸,ねぎし,Negishi
41,磯子,いそご,Isogo
42,新杉田,しんすぎた,Shin-Sugita
43,洋光台,ようこうだい,Yokodai
44,港南台,こうなんだい,Konandai
45,本郷台,ほんごうだい,Hongodai
46,大船,おおふな,Ofuna
47,駒込,こまごめ,Komagome
48,巣鴨,すがも,Sugamo
49,大塚,おおつか,Otsuka
50,池袋,いけぶくろ,Ikebukuro
51,目白,めじろ,Mejiro
52,高田馬場,たかだのばば,Takadanobaba
53,新大久保,しんおおくぼ,Shin-Okubo
54,新宿,しんじゅく,Shinjuku
55,代々木,よよぎ,Yoyogi
56,原宿,はらじゅく,Harajuku
57,渋谷,しぶや,Shibuya
58,恵比寿,えびす,Ebisu
59,目黒,めぐろ,Meguro
60,五反田,ごたんだ,Gotanda
61,大崎,おおさき,Osaki
